[3, 3, 3, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 2]
[3, 3, 4, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 2]
[3, 3, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 2, 2]
[3, 3, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 2, 2]
[3, 4, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 2]
[3, 4, 6, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2]
[3, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 2, 2]
[3, 5, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 2, 2]
[3, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2]
[4, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 2, 2]
[4, 5, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 2, 2]
[5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 2, 2]
[5, 5, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 2, 2]
[5, 6, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2]
[6, 5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2]
